account,sale_month,gained_locations,lost_locations,net_location_change
EMMET,2024-11-01 00:00:00,2,1,1
ADAIR,2024-11-01 00:00:00,1,2,-1
MILLS,2024-11-01 00:00:00,1,0,1
LOUISA,2024-11-01 00:00:00,1,1,0
CHEROKEE,2024-11-01 00:00:00,0,0,0
CLAY,2024-11-01 00:00:00,0,0,0
OSCEOLA,2024-11-01 00:00:00,0,0,0
WARREN,2024-11-01 00:00:00,7,7,0
TAMA,2024-11-01 00:00:00,2,2,0
SIOUX,2024-11-01 00:00:00,6,6,0
GREENE,2024-11-01 00:00:00,1,1,0
HARDIN,2024-11-01 00:00:00,4,4,0
CALHOUN,2024-11-01 00:00:00,1,1,0
DICKINSON,2024-11-01 00:00:00,2,2,0
POCAHONTAS,2024-11-01 00:00:00,0,0,0
DELAWARE,2024-11-01 00:00:00,1,1,0
POLK,2024-10-01 00:00:00,55,45,10
DUBUQUE,2024-10-01 00:00:00,4,12,-8
DES MOINES,2024-10-01 00:00:00,5,12,-7
CLINTON,2024-10-01 00:00:00,2,8,-6
JASPER,2024-10-01 00:00:00,8,2,6
STORY,2024-10-01 00:00:00,12,6,6
WOODBURY,2024-10-01 00:00:00,13,7,6
BUCHANAN,2024-10-01 00:00:00,6,1,5
SIOUX,2024-10-01 00:00:00,6,2,4
BLACK HAWK,2024-10-01 00:00:00,13,16,-3
JOHNSON,2024-10-01 00:00:00,14,11,3
BENTON,2024-10-01 00:00:00,6,3,3
CERRO GORDO,2024-10-01 00:00:00,5,8,-3
JEFFERSON,2024-10-01 00:00:00,3,0,3
FAYETTE,2024-10-01 00:00:00,1,4,-3
CEDAR,2024-10-01 00:00:00,0,3,-3
PLYMOUTH,2024-10-01 00:00:00,1,4,-3
BUENA VISTA,2024-10-01 00:00:00,0,2,-2
CASS,2024-10-01 00:00:00,2,4,-2
DALLAS,2024-10-01 00:00:00,9,7,2
WASHINGTON,2024-10-01 00:00:00,0,2,-2
TAMA,2024-10-01 00:00:00,4,2,2
PALO ALTO,2024-10-01 00:00:00,2,0,2
LEE,2024-10-01 00:00:00,2,4,-2
WAPELLO,2024-10-01 00:00:00,2,4,-2
LINN,2024-10-01 00:00:00,24,22,2
KEOKUK,2024-10-01 00:00:00,1,3,-2
WINNEBAGO,2024-10-01 00:00:00,1,3,-2
LOUISA,2024-10-01 00:00:00,2,0,2
CRAWFORD,2024-10-01 00:00:00,2,0,2
BOONE,2024-10-01 00:00:00,1,3,-2
MILLS,2024-10-01 00:00:00,0,2,-2
CARROLL,2024-10-01 00:00:00,1,3,-2
LUCAS,2024-10-01 00:00:00,0,2,-2
WARREN,2024-10-01 00:00:00,7,5,2
CLARKE,2024-10-01 00:00:00,3,1,2
HUMBOLDT,2024-10-01 00:00:00,0,2,-2
CALHOUN,2024-10-01 00:00:00,0,2,-2
